branch,id_branch_base,date,hour,event_type,id_event,event,Placa,speed,time,lat,lon,name,odometer,id_truck,month,day_period,day_hour,region,state,city,road,odometer2,km_ran,base_speed
Black Box,99,2019-08-29,02:20:07,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,HYM1144,73,00:00:13,-8.399627,-34.96442,Naveen Andrews,76499.2,MHY2155,2019-08,Mid_night,2,Região Nordeste,Pernambuco,Ipojuca,PE-038,76499.2,0.0,60/80
Black Box,99,2019-08-29,02:21:42,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,HYM1144,73,00:00:06,-8.399624,-34.96443,Naveen Andrews,76499.2,MHY2155,2019-08,Mid_night,2,Região Nordeste,Pernambuco,Ipojuca,PE-038,76499.2,0.0,60/80
Black Box,99,2019-08-29,02:24:27,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,HYM1144,73,00:01:20,-8.399634,-34.96442,Naveen Andrews,76499.2,MHY2155,2019-08,Mid_night,2,Região Nordeste,Pernambuco,Ipojuca,PE-038,76499.2,0.0,60/80
Black Box,99,2019-08-29,02:29:13,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,HYM1144,73,00:00:32,-8.399638,-34.96441,Naveen Andrews,76499.2,MHY2155,2019-08,Mid_night,2,Região Nordeste,Pernambuco,Ipojuca,PE-038,76790.3,291.1,60/80
Black Box,99,2019-09-09,13:40:52,TELEMETRY,236,ABRUPT BRAKE,PNP2518,0,00:00:00,-3.797934,-38.51471,Naveen Andrews,39330.2,PPN3529,2019-09,Afternoon,13,Região Nordeste,Ceará,Fortaleza,Rua Francisco Vilela,39330.6,0.4,0/20
Black Box,99,2019-09-09,14:03:05,TELEMETRY,236,ABRUPT BRAKE,PNP2518,0,00:00:00,-3.797932,-38.51468,Naveen Andrews,39330.6,PPN3529,2019-09,Afternoon,14,Região Nordeste,Ceará,Fortaleza,Rua Francisco Vilela,39390.0,59.4,0/20
Black Box,99,2019-09-09,14:59:27,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,PMZ7181,80,00:00:01,-4.659578,-47.49546,Andre 3000,39877.2,ZPM8192,2019-09,Afternoon,14,Região Nordeste,Maranhão,Açailândia,Belém-Brasília,39877.2,0.0,60/80
Black Box,99,2019-09-12,10:29:50,TELEMETRY,236,ABRUPT BRAKE,PNR6090,0,00:00:00,-10.14986,-48.88478,Naveen Andrews,27810.7,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27810.7,0.0,0/20
Black Box,99,2019-09-12,10:30:30,TELEMETRY,236,ABRUPT BRAKE,PNR6090,0,00:00:00,-10.15447,-48.88337,Naveen Andrews,27810.7,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27810.7,0.0,0/20
Black Box,99,2019-09-12,10:31:04,PRE-INFRINGEMENT RAIN,222,PRE-INFRINGEMENT OF EXCESS SPEED WITH RAIN,PNR6090,60,00:00:01,-10.15797,-48.88231,Naveen Andrews,27810.7,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27810.8,0.1,40/60
Black Box,99,2019-09-12,10:31:11,RAIN SPEED EVENT,228,EXCESS SPEED RAIL ROAD WITH RAIN,PNR6090,64,00:00:07,-10.15903,-48.88199,Naveen Andrews,27810.8,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27810.8,0.0,60/80
Black Box,99,2019-09-12,10:31:12,PRE-INFRINGEMENT RAIN,222,PRE-INFRINGEMENT OF EXCESS SPEED WITH RAIN,PNR6090,60,00:00:01,-10.15917,-48.88194,Naveen Andrews,27810.8,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27811.0,0.2,40/60
Black Box,99,2019-09-12,10:35:29,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,PNR6090,83,00:00:04,-10.1822,-48.88028,Naveen Andrews,27811.0,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27811.0,0.0,over 80
Black Box,99,2019-09-12,10:35:30,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,PNR6090,80,00:00:01,-10.1824,-48.88028,Naveen Andrews,27811.0,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27811.0,0.0,60/80
Black Box,99,2019-09-12,10:35:34,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,PNR6090,80,00:00:01,-10.1832,-48.88024,Naveen Andrews,27811.0,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27811.1,0.1,60/80
Black Box,99,2019-09-12,10:35:58,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,PNR6090,96,00:00:24,-10.1885,-48.88001,Naveen Andrews,27811.1,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27811.1,0.0,over 80
Black Box,99,2019-09-12,10:35:59,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,PNR6090,80,00:00:01,-10.1887,-48.88,Naveen Andrews,27811.1,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27811.3,0.2,60/80
Black Box,99,2019-09-12,10:38:49,RAIN SPEED EVENT,228,EXCESS SPEED RAIL ROAD WITH RAIN,PNR6090,77,00:00:16,-10.20253,-48.87353,Naveen Andrews,27811.3,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27811.3,0.0,60/80
Black Box,99,2019-09-12,10:39:10,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,PNR6090,91,00:00:15,-10.20691,-48.87385,Naveen Andrews,27811.3,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27811.3,0.0,over 80
Black Box,99,2019-09-12,10:39:11,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,PNR6090,80,00:00:01,-10.20711,-48.87387,Naveen Andrews,27811.3,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27811.5,0.2,60/80
Black Box,99,2019-09-12,10:41:50,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,PNR6090,89,00:00:18,-10.20374,-48.87348,Naveen Andrews,27811.5,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27811.5,0.0,over 80
Black Box,99,2019-09-12,10:42:08,RAIN SPEED EVENT,228,EXCESS SPEED RAIL ROAD WITH RAIN,PNR6090,70,00:00:14,-10.20106,-48.87411,Naveen Andrews,27811.5,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27811.5,0.0,60/80
Black Box,99,2019-09-12,10:42:09,PRE-INFRINGEMENT RAIN,222,PRE-INFRINGEMENT OF EXCESS SPEED WITH RAIN,PNR6090,60,00:00:01,-10.20084,-48.87424,Naveen Andrews,27811.5,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27811.7,0.2,40/60
Black Box,99,2019-09-12,10:44:55,RAIN SPEED EVENT,228,EXCESS SPEED RAIL ROAD WITH RAIN,PNR6090,83,00:00:15,-10.18682,-48.88006,Naveen Andrews,27811.7,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27811.7,0.0,over 80
Black Box,99,2019-09-12,10:45:00,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,PNR6090,85,00:00:05,-10.18561,-48.8801,Naveen Andrews,27811.7,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,27811.8,0.1,over 80
Black Box,99,2019-09-12,10:46:23,TELEMETRY,236,ABRUPT BRAKE,PNR6090,0,00:00:00,-10.17519,-48.88053,Naveen Andrews,27811.8,RPN70101,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,29104.4,1292.6,0/20
Black Box,99,2019-09-20,11:00:35,TELEMETRY,236,ABRUPT BRAKE,HZA1221,0,00:00:00,-10.20063,-48.87436,Naveen Andrews,146702.6,AHZ2232,2019-09,Morning,11,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,146702.6,0.0,0/20
Black Box,99,2019-09-20,11:01:03,TELEMETRY,236,ABRUPT BRAKE,HZA1221,0,00:00:00,-10.20464,-48.87358,Naveen Andrews,146702.6,AHZ2232,2019-09,Morning,11,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,146702.8,0.2,0/20
Black Box,99,2019-09-20,11:03:40,TELEMETRY,236,ABRUPT BRAKE,HZA1221,0,00:00:00,-10.21197,-48.87345,Naveen Andrews,146702.8,AHZ2232,2019-09,Morning,11,Região Norte,Tocantins,Paraíso do Tocantins,N/D,146702.8,0.0,0/20
Black Box,99,2019-09-20,11:10:26,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HZA1221,79,00:00:01,-10.20702,-48.87383,Naveen Andrews,146702.8,AHZ2232,2019-09,Morning,11,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,146702.8,0.0,60/80
Black Box,99,2019-09-20,11:10:41,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,HZA1221,95,00:00:16,-10.20362,-48.87346,Naveen Andrews,146702.8,AHZ2232,2019-09,Morning,11,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,146702.8,0.0,over 80
Black Box,99,2019-09-20,11:10:42,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HZA1221,79,00:00:01,-10.20343,-48.87345,Naveen Andrews,146702.8,AHZ2232,2019-09,Morning,11,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,146703.1,0.3,60/80
Black Box,99,2019-09-20,11:14:15,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HZA1221,78,00:00:04,-10.18685,-48.88007,Naveen Andrews,146703.1,AHZ2232,2019-09,Morning,11,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,146703.1,0.0,60/80
Black Box,99,2019-09-20,11:14:28,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,HZA1221,89,00:00:14,-10.184,-48.8802,Naveen Andrews,146703.1,AHZ2232,2019-09,Morning,11,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,146703.1,0.0,over 80
Black Box,99,2019-09-20,11:14:30,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HZA1221,80,00:00:02,-10.18361,-48.88021,Naveen Andrews,146703.1,AHZ2232,2019-09,Morning,11,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,0.0,0.0,60/80
Black Box,99,2019-09-20,10:52:17,PRE-INFRINGEMENT RAIN,222,PRE-INFRINGEMENT OF EXCESS SPEED WITH RAIN,HZA1221,58,00:00:01,-10.15446,-48.88339,Naveen Andrews,146702.1,AHZ2232,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,146702.1,0.0,40/60
Black Box,99,2019-09-20,10:52:50,PRE-INFRINGEMENT RAIN,222,PRE-INFRINGEMENT OF EXCESS SPEED WITH RAIN,HZA1221,59,00:00:02,-10.1585,-48.88216,Naveen Andrews,146702.1,AHZ2232,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,146702.1,0.0,40/60
Black Box,99,2019-09-20,10:52:58,RAIN SPEED EVENT,228,EXCESS SPEED RAIL ROAD WITH RAIN,HZA1221,75,00:00:09,-10.15986,-48.88174,Naveen Andrews,146702.1,AHZ2232,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,146702.4,0.3,60/80
Black Box,99,2019-09-20,10:56:33,TELEMETRY,236,ABRUPT BRAKE,HZA1221,0,00:00:00,-10.17661,-48.88051,Naveen Andrews,146702.4,AHZ2232,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,146702.4,0.0,0/20
Black Box,99,2019-09-20,10:57:04,TELEMETRY,236,ABRUPT BRAKE,HZA1221,0,00:00:00,-10.18049,-48.88035,Naveen Andrews,146702.4,AHZ2232,2019-09,Morning,10,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,146702.6,0.2,0/20
Black Box,99,2019-09-25,16:12:28,RAIN SPEED EVENT,228,EXCESS SPEED RAIL ROAD WITH RAIN,HZA1121,75,00:00:12,-10.15877,-48.88206,Naveen Andrews,80352.0,AHZ2132,2019-09,Afternoon,16,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,80352.1,0.1,60/80
Black Box,99,2019-09-25,16:13:02,TELEMETRY,236,ABRUPT BRAKE,HZA1121,0,00:00:00,-10.16325,-48.88107,Naveen Andrews,80352.1,AHZ2132,2019-09,Afternoon,16,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,80352.1,0.0,0/20
Black Box,99,2019-09-25,16:13:04,TELEMETRY,236,ABRUPT BRAKE,HZA1121,0,00:00:00,-10.16345,-48.88106,Naveen Andrews,80352.1,AHZ2132,2019-09,Afternoon,16,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,80352.1,0.0,0/20
Black Box,99,2019-09-25,16:13:18,TELEMETRY,236,ABRUPT BRAKE,HZA1121,0,00:00:00,-10.16458,-48.88102,Naveen Andrews,80352.1,AHZ2132,2019-09,Afternoon,16,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,80352.2,0.1,0/20
Black Box,99,2019-09-25,16:14:19,TELEMETRY,236,ABRUPT BRAKE,HZA1121,0,00:00:00,-10.16939,-48.88081,Naveen Andrews,80352.2,AHZ2132,2019-09,Afternoon,16,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,80352.2,0.0,0/20
Black Box,99,2019-09-25,16:15:25,TELEMETRY,236,ABRUPT BRAKE,HZA1121,0,00:00:00,-10.17518,-48.88057,Naveen Andrews,80352.2,AHZ2132,2019-09,Afternoon,16,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,80352.3,0.1,0/20
Black Box,99,2019-09-25,16:16:01,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HZA1121,80,00:00:01,-10.17988,-48.88036,Naveen Andrews,80352.3,AHZ2132,2019-09,Afternoon,16,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,80352.3,0.0,60/80
Black Box,99,2019-09-25,16:16:02,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,HZA1121,81,00:00:01,-10.18013,-48.88035,Naveen Andrews,80352.3,AHZ2132,2019-09,Afternoon,16,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,80352.3,0.0,over 80
Black Box,99,2019-09-25,16:16:04,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HZA1121,80,00:00:02,-10.18048,-48.88033,Naveen Andrews,80352.3,AHZ2132,2019-09,Afternoon,16,Região Norte,Tocantins,Paraíso do Tocantins,BR-153,80352.3,0.0,60/80
